STATE_UT,DISTRICT,ALERT_CONFIRMED,alert_count
Haryana,Nuh,CRITICAL_GROUNDWATER,9
Haryana,Nuh,DEPLETION_WARNING,4
Haryana,Nuh,RECOVERY_SIGNAL,3
Haryana,Nuh,SUDDEN_DROP,5
Haryana,Palwal,CRITICAL_GROUNDWATER,3
Haryana,Palwal,DEPLETION_WARNING,1
Haryana,Palwal,RECOVERY_SIGNAL,4
Haryana,Palwal,SUDDEN_DROP,5
Haryana,Panchkula,CRITICAL_GROUNDWATER,13
Haryana,Panchkula,DEPLETION_WARNING,6
Haryana,Panchkula,RECOVERY_SIGNAL,1
Haryana,Panchkula,SUDDEN_DROP,6
Haryana,Panipat,CRITICAL_GROUNDWATER,8
Haryana,Panipat,DEPLETION_WARNING,6
Haryana,Panipat,RECOVERY_SIGNAL,6
Haryana,Rewari,CRITICAL_GROUNDWATER,4
