station_id,STATE_UT,DISTRICT,GAVI,GAVI_forecast_1y,GAVI_forecast_3y,FUTURE_ALERT_1y,FUTURE_ALERT_3y
Kerala_11.9015_75.3473,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.8831_75.3531,Kerala,Kannur,16.666666666666696,18.518518518518544,22.22222222222229,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.7667_81.1125,Uttar Pradesh,Lucknow,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.9073_76.0321,Kerala,Wayanad,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Andhra Pradesh_15.1179_77.64,Andhra Pradesh,Ananthapuramu,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_12.7415_74.9539,Kerala,Kasaragod,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_8.3308_77.0627,Kerala,Thiruvananthapuram,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Arunachal Pradesh_27.4167_96.0458,Arunachal Pradesh,Changlang,15.384615384615397,4.807692307692301,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.83_79.5958,Uttar Pradesh,Auraiya,25.806451612903246,13.440860215053796,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.8717_75.5724,Kerala,Kannur,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_24.7183_92.7769,Assam,Cachar,31.25,19.375000000000007,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.7661_82.1608,Uttar Pradesh,Ayodhya,41.666666666666664,30.00000000000003,6.666666666666677,EARLY_DEPLETION_WARNING,FUTURE_CRITICAL
Kerala_8.3828_76.9911,Kerala,Thiruvananthapuram,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_8.389_77.0738,Kerala,Thiruvananthapuram,22.857142857142854,14.28571428571429,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_25.9472_82.3917,Uttar Pradesh,Jaunpur,13.513513513513509,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_26.8419_79.0853,Uttar Pradesh,Etawah,27.27272727272726,23.636363636363612,16.363636363636335,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.84_75.9066,Kerala,Wayanad,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Kerala_11.8496_76.0663,Kerala,Wayanad,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
