STATE_UT,DISTRICT,total_stations,total_records,critical_alerts,depletion_alerts,avg_gavi,stressed_ratio
Gujarat,Sabar Kantha,25,213,24,15,52.25779607408923,100.0
Gujarat,Surat,21,190,29,19,48.199565703079365,100.0
Gujarat,Surendranagar,22,197,28,11,56.80103873748756,100.0
Gujarat,Tapi,11,90,16,6,50.98194052670443,100.0
Gujarat,Vadodara,18,190,32,12,50.25249058515578,100.0
Gujarat,Valsad,18,197,40,20,46.083514520954594,100.0
Gujarat,Kheda,8,70,7,4,57.34493410151258,100.0
Gujarat,Mahesana,16,137,13,14,52.660078282109026,100.0
Gujarat,Mahisagar,18,164,14,9,52.32020416047289,100.0
Gujarat,Morbi,18,156,10,6,57.965960692968785,100.0
Gujarat,Narmada,19,172,24,11,52.484673834690554,100.0
Gujarat,Navsari,20,185,6,19,53.71555543074682,100.0
Gujarat,Panch Mahals,18,157,17,7,57.209453482521816,100.0
Gujarat,Patan,7,60,6,3,56.63405084836675,100.0
