station_id,mean_wl,min_wl,max_wl,std_wl
Assam_26.0186_93.6336,5.09,3.5,8.1,1.786026004538816
Assam_26.0208_91.3278,3.5,2.3,4.1,0.6582805886043833
Assam_26.0272_93.7633,5.19,2.5,11.5,3.056304958606062
Assam_26.0333_90.425,3.37,2.3,4.3,0.6992853494818837
Assam_26.0347_90.6617,2.6833333333333336,2.3,3.1,0.42150523919242905
Assam_26.0411_91.3597,4.34,3.0,6.0,0.811308956084069
Assam_26.0412_91.5863,2.65,1.5,3.6,0.8916277250063503
Assam_26.0506_93.7481,4.988888888888889,4.1,5.8,0.5988414741073894
Assam_26.0567_90.4953,2.35,1.1,3.1,0.7735200923914862
Assam_26.0589_93.1906,2.5999999999999996,0.9,6.0,1.6933694221876099
Assam_26.0636_93.1829,4.733333333333333,2.7,6.9,1.5313392831113555
Assam_26.0636_93.185,2.411111111111111,1.5,3.1,0.4728753653037036
Assam_26.0651_91.6061,2.7199999999999998,1.6,3.4,0.6124631508189788
Assam_26.0736_90.5136,4.26,2.2,5.6,0.8720346578229814
Assam_26.0822_90.5497,3.5285714285714285,3.2,3.8,0.24976179127511164
Assam_26.0931_91.5472,5.71,4.7,7.4,1.040779622313111
Assam_26.0999_92.3167,5.7700000000000005,4.9,6.7,0.6272515001532036
Assam_26.1083_92.1167,2.27,1.0,3.3,0.8718435129718585
Assam_26.1103_92.1364,2.5555555555555554,1.9,3.7,0.5479760740924534
Assam_26.1111_90.5486,4.083333333333333,3.8,4.4,0.2041241452319315
Assam_26.1167_92.0083,1.7100000000000002,1.3,2.5,0.4012480529547775
Assam_26.1167_92.1667,3.522222222222222,2.7,4.1,0.4294699575575041
Assam_26.1175_93.785,2.466666666666667,1.2,4.3,0.8860022573334674
Assam_26.1189_91.98,2.111111111111111,1.3,3.1,0.6009252125773314
Assam_26.1192_91.9633,2.2125,1.4,3.6,0.664266512779321
Assam_26.1217_92.3508,2.1142857142857143,0.9,5.2,1.457656305430709
Assam_26.1264_92.2525,3.8600000000000003,2.5,5.7,1.0637460014287037
Assam_26.1302_90.5955,6.37,4.8,7.3,0.7587270040447136
Assam_26.1422_93.8528,8.51,4.1,12.3,3.0369758349750207
Assam_26.1439_92.3742,2.65,1.4,3.3,0.662570750939098
Assam_26.1467_92.1656,1.975,1.3,2.4,0.4527692569068708
Assam_26.1569_93.8,2.68,2.1,3.3,0.48944412914607055
Assam_26.15_90.05,17.32,15.0,19.5,1.4164117417693993
Assam_26.1822_93.1469,3.9,2.0,7.0,1.9905331502444819
Assam_26.1918_91.6148,4.116666666666666,3.2,4.9,0.6765106552499128
Assam_26.1936_92.2453,1.98,0.6,5.6,1.5682970240217748
Assam_26.1967_93.7953,3.95,3.2,4.7,0.49046463231873866
Assam_26.2028_90.1389,14.8,14.1,16.2,0.5849976258261415
Assam_26.2028_93.1064,3.15,2.5,5.0,0.7442371187255369
Assam_26.2028_93.1336,3.4000000000000004,2.1,4.3,0.6519202405202649
Assam_26.2074_90.2963,1.8111111111111111,1.1,2.9,0.5710613899670605
Assam_26.2125_92.9747,1.9833333333333334,1.2,3.5,0.870440501508671
Assam_26.2208_93.8422,8.92,6.8,11.7,1.7843766418556366
Assam_26.2267_92.2758,2.888888888888889,1.5,4.4,0.902003941848987
Assam_26.2378_90.5917,6.955555555555556,3.5,9.2,2.322773725048951
Assam_26.2384_90.3751,16.033333333333335,15.1,16.8,0.5979130371550702
Assam_26.2409_92.2636,3.8600000000000003,3.5,4.9,0.42998707990925583
Assam_26.2492_93.1511,2.6399999999999997,1.0,5.4,1.6290419815884971
Assam_26.2542_91.5583,1.9142857142857144,0.9,4.8,1.3421730780449186
Assam_26.2581_92.3117,2.6666666666666665,1.6,3.0,0.44721359549995804
Assam_26.2631_92.2236,3.7399999999999998,3.2,4.2,0.27968235951204046
Assam_26.2717_90.46,4.529999999999999,2.3,5.4,0.8844960900610774
Assam_26.271_91.2207,4.42,2.4,6.2,1.1458136361943374
